rnaseqdb_tissue	slide_tissue
prostate	Prostate
bladder	UrinaryBladder
breast	MammaryTissueBreast
thyroid	ThyroidGland
stomach	Stomach
lung	Lung
liver	Liver
kidney	KidneyCortex
kidney	KidneyMedulla
pancreatic	Pancreas
colon	Colon
colon	SigmoidColon
esophagus_gas	GastroesophagealJunction
esophagus_muc	EsophagusMucosa
esophagus_mus	EsophagusMuscularis
uterus	Uterus
cervix	Ectocervix
cervis	Endocervix
salivary	MinorSalivaryGlands
